Country,Model,α,s,xstar,NRMSE,cor_ρ,cor_ρθ_before_1990,cor_ρθ_after_1990,Implied_qstar,θ
Canada,Standard,1.0,1.0,6.621,0.406,0.887,1.0,1.0,1.0,0.153
Canada,NCF,0.518,0.799,7.371,0.034,0.97,0.984,0.006,0.648,0.659
Canada,Full,1.0,1.547,8.307,0.078,0.847,0.917,-0.874,1.547,0.487
US,Standard,1.0,1.0,5.174,0.495,-0.284,1.0,1.0,1.0,0.193
US,NCF,0.181,0.017,3.022,0.07,0.851,0.936,-0.666,0.0,1.0
US,Full,0.252,1.01,4.192,0.082,0.795,0.911,-0.934,1.04,0.564
Australia,Standard,0.529,1.0,8.557,0.559,-0.772,0.991,0.999,1.0,0.059
Australia,NCF,0.727,0.001,6.429,0.045,0.728,0.881,-0.594,0.0,1.0
Australia,Full,0.71,1.01,8.238,0.045,0.729,0.867,-0.643,1.014,0.525
UK,Standard,0.283,1.0,5.432,0.177,0.75,0.936,0.889,1.0,0.371
UK,NCF,0.283,26.355,283642.349,0.177,0.75,0.936,0.889,104426.163,0.371
UK,Full,1.0,1.938,8.86,0.144,0.902,0.991,-0.02,1.938,0.598
